Var1,Var2,Var3
51,51,51
53.457,53.3017796683598,53.6225606434155
56.133,55.894,56.366
58.908,58.6204372783683,59.207
61.763,61.4082071456744,62.1086741270084
64.901,64.4881540057161,65.3305646378543
67.993,67.5368270108726,68.4506489439153
71.34,70.846540115175,71.8716662057194
74.998,74.3896782818112,75.535829072885
78.495,77.8368478198166,79.120032497765
82.277,81.5503407322991,82.8968853426628
86.461,85.6605430177458,87.1838276628383
90.676,89.8290341952012,91.5242343481089
95.222,94.3322346562774,96.1476689078749
99.94,98.9074556294441,100.918087910948
104.965,103.843694538182,105.954732033032
110.106,108.891928059602,111.130689625788
115.406,114.171348259337,116.577233564368
120.974,119.621856538991,122.244656230686
126.937,125.473826234736,128.271937956773
133.166,131.646575604011,134.637761758445
139.579,137.917305378835,141.149617522441
146.508,144.788526275426,148.149220588096
153.632,151.778962602,155.276418088301
160.71,158.677947199496,162.539206292569
168.491,166.347852288029,170.434545718502
176.438,174.149519297197,178.431668635487
185.061,182.693907107299,187.328919527724
193.683,191.105162155675,196.052874935418
203.104,200.471786648964,205.683327955632
212.88,210.110296201509,215.500228836299
223.08,220.112359371681,225.757702316744
233.655,230.440115500597,236.389454007801
244.572,241.166355762625,247.453409903114
256.063,252.615827078216,259.186666959574
268.311,264.693660261564,271.540305929514
280.987,277.347521373837,284.499191743838
294.439,290.667421451972,298.080846598575
308.221,304.216958583062,312.008526225269
322.732,318.590123494224,326.795152147802
337.875,333.49214245918,342.118323025612
353.52,349.018576474961,357.943857071244
369.682,365.005199279057,374.378012678194
386.708,381.649948624419,391.500491528986
404.672,399.434619540768,409.704396989852
423.206,417.868742817608,428.362175422509
442.817,437.397301757106,448.295396799968
462.67,456.930451838257,468.450430497785
483.542,477.424628192674,489.548376257678
505.077,498.381059518218,511.126078779089
527.989,521.187262177275,534.326525727288
551.349,544.301027726923,558.102965863499
575.327,567.753578382997,582.263467268325
600.858,593.051157053735,608.204627574424
627.577,619.374609159578,635.005816064293
655.067,646.579390875861,662.900429534869
683.274,674.359948224353,691.26806129298
712.639,703.208673346261,720.645006478126
743.324,733.458648266738,751.577486537158
774.84,764.766591277236,783.3464080085
807.932,797.744018244205,816.924723221232
841.548,831.153226690229,851.361375014266
875.996,864.935249027999,885.873323612883
911.7,900.459605358344,921.814046070269
949.024,937.490318837156,959.833853620562
986.867,974.998193738923,997.540788813546
1025.474,1013.22127167203,1036.25505134081
1065.673,1053.0516317816,1077.00360272118
1107.125,1093.9231277294,1118.74768442612
1149.656,1136.16836284807,1161.70490469201
1193.926,1180.09224510781,1206.56840399817
1239.229,1224.85786786947,1252.27810103779
1285.118,1270.73661177052,1298.840097039
1332.601,1317.14015071191,1346.38922866612
1381.21,1366.02101175505,1395.40711032279
1429.72,1414.38924487178,1444.37267036669
1479.312,1463.24103586003,1494.26523194232
1531.667,1515.29538692563,1547.2267939466
1584.125,1567.4527480493,1599.92422108546
1637.824,1620.83987157544,1653.7830305434
1691.582,1674.45822246754,1707.92475874768
1747.117,1729.70575175596,1764.19492645584
1802.701,1785.33317131755,1820.44963575477
1859.834,1841.79870771419,1877.38686808961
1917.898,1899.17394600833,1935.47018271679
1975.859,1957.38642935262,1994.02086419309
2034.915,2016.23935840368,2052.88444054193
2094.041,2074.55046573163,2112.25792807706
2153.978,2134.74819875697,2172.36877006579
2213.931,2195.14567660868,2232.71280477194
2274.965,2255.77869367807,2293.84125371913
2335.539,2316.40590068502,2354.601108661
2396.449,2377.53906391232,2416.01568036654
2457.171,2438.1867008871,2477.00062717954
2518.951,2499.69255821881,2538.36038998476
2581.067,2562.24604515453,2600.6156686366
2642.262,2622.86018538867,2661.10492119635
2703.506,2684.38264769146,2723.68304078668
2765.586,2746.32095797324,2785.11214606468
