START_POPULATION,CROWDING_COEFFICIENT,REPRODUCTION_PROBABILITY,DEATH_PROBABILITY,ITERATION_GRAND_MEAN,LOWER_95_CI,UPPER_95_CI
1,5e-05,0.3,0.25,199.945273631841,199.467661691542,200.412935323383
1,5e-05,0.35,0.3,149.796019900498,149.512437810945,150.069651741294
1,5e-05,0.4,0.35,157.228855721393,156.825870646766,157.641791044776
1,5e-05,0.45,0.4,169.189054726368,168.825870646766,169.572139303483
1,5e-05,0.5,0.45,142.243781094527,141.860696517413,142.606965174129
1,5e-05,0.55,0.5,239.606965174129,239.228855721393,240
1,5e-05,0.6,0.55,189.199004975124,188.73631840796,189.691542288557
1,5e-05,0.65,0.6,190.179104477612,189.810945273632,190.542288557214
1,5e-05,0.7,0.65,166.661691542289,166.278606965174,167.044776119403
1,5e-05,0.75,0.7,199.353233830846,198.965174129353,199.751243781095
1,5e-05,0.8,0.75,319.661691542289,319.308457711443,320.014925373134
1,5e-05,0.85,0.8,300.109452736318,299.8407960199,300.36815920398
1,5e-05,0.9,0.85,381,380.65671641791,381.328358208955
1,5e-05,0.95,0.9,469.109452736318,468.825870646766,469.417910447761
1,5e-05,1,0.95,999.860696517413,999.805970149254,999.915422885572
1,6e-05,0.05,0,832.860696517413,832.462686567164,833.26368159204
1,6e-05,0.1,0.05,365.945273631841,365.597014925373,366.268656716418
1,6e-05,0.15,0.1,296.462686567164,296.208955223881,296.686567164179
1,6e-05,0.2,0.15,173.427860696517,173.059701492537,173.781094527363
1,6e-05,0.25,0.2,190.44776119403,190.024875621891,190.845771144279
1,6e-05,0.3,0.25,174.696517412935,174.358208955224,175.014925373134
1,6e-05,0.35,0.3,206.179104477612,205.800995024876,206.497512437811
1,6e-05,0.4,0.35,173.547263681592,173.189054726368,173.89552238806
1,6e-05,0.45,0.4,107.865671641791,107.616915422886,108.10447761194
1,6e-05,0.5,0.45,172.855721393035,172.497512437811,173.258706467662
1,6e-05,0.55,0.5,164.965174129353,164.412935323383,165.537313432836
1,6e-05,0.6,0.55,115.885572139303,115.646766169154,116.144278606965
1,6e-05,0.65,0.6,134.189054726368,133.865671641791,134.497512437811
1,6e-05,0.7,0.65,166.318407960199,166.014925373134,166.621890547264
1,6e-05,0.75,0.7,184.233830845771,183.945273631841,184.517412935323
1,6e-05,0.8,0.75,190.049751243781,189.786069651741,190.308457711443
1,6e-05,0.85,0.8,256.771144278607,256.487562189055,257.059701492537
1,6e-05,0.9,0.85,232.805970149254,232.557213930348,233.044776119403
1,6e-05,0.95,0.9,457.825870646766,457.592039800995,458.069651741294
1,6e-05,1,0.95,833.751243781095,833.676616915423,833.820895522388
1,7e-05,0.05,0,711.512437810945,711.179104477612,711.820895522388
1,7e-05,0.1,0.05,400.039800995025,399.651741293532,400.44776119403
1,7e-05,0.15,0.1,254.293532338308,253.975124378109,254.626865671642
1,7e-05,0.2,0.15,220.164179104478,219.805970149254,220.497512437811
1,7e-05,0.25,0.2,172.268656716418,171.955223880597,172.616915422886
1,7e-05,0.3,0.25,178.890547263682,178.442786069652,179.363184079602
1,7e-05,0.35,0.3,178.378109452736,177.925373134328,178.781094527363
1,7e-05,0.4,0.35,183.945273631841,183.661691542289,184.258706467662
1,7e-05,0.45,0.4,128.28855721393,127.950248756219,128.651741293532
1,7e-05,0.5,0.45,120.358208955224,120.134328358209,120.572139303483
1,7e-05,0.55,0.5,133.417910447761,133.019900497512,133.791044776119
1,7e-05,0.6,0.55,151.766169154229,151.442786069652,152.089552238806
1,7e-05,0.65,0.6,107.308457711443,107.024875621891,107.611940298507
1,7e-05,0.7,0.65,134.980099502488,134.746268656716,135.218905472637
1,7e-05,0.75,0.7,178.676616915423,178.233830845771,179.114427860697
1,7e-05,0.8,0.75,170.800995024876,170.512437810945,171.064676616915
1,7e-05,0.85,0.8,191.676616915423,191.437810945274,191.92039800995
1,7e-05,0.9,0.85,290.626865671642,290.218905472637,291.009950248756
1,7e-05,0.95,0.9,335.716417910448,335.47263681592,335.950248756219
1,7e-05,1,0.95,714.726368159204,714.651741293532,714.796019900498
1,8e-05,0.05,0,625.114427860697,624.845771144279,625.398009950249
1,8e-05,0.1,0.05,319.174129353234,318.830845771144,319.517412935323
1,8e-05,0.15,0.1,263.71144278607,263.293532338308,264.1592039801
1,8e-05,0.2,0.15,197.208955223881,196.910447761194,197.572139303483
1,8e-05,0.25,0.2,149.81592039801,149.537313432836,150.094527363184
1,8e-05,0.3,0.25,148.960199004975,148.686567164179,149.228855721393
1,8e-05,0.35,0.3,117.8407960199,117.582089552239,118.074626865672
1,8e-05,0.4,0.35,103.109452736318,102.865671641791,103.348258706468
1,8e-05,0.45,0.4,123.995024875622,123.681592039801,124.323383084577
1,8e-05,0.5,0.45,129.756218905473,129.388059701493,130.07960199005
1,8e-05,0.55,0.5,81.0845771144279,80.8208955223881,81.3383084577114
1,8e-05,0.6,0.55,105.099502487562,104.880597014925,105.34328358209
1,8e-05,0.65,0.6,117.432835820896,117.129353233831,117.731343283582
1,8e-05,0.7,0.65,123.532338308458,123.283582089552,123.800995024876
1,8e-05,0.75,0.7,123.248756218905,123.034825870647,123.457711442786
1,8e-05,0.8,0.75,172.791044776119,172.432835820896,173.174129353234
1,8e-05,0.85,0.8,180.383084577114,180.044776119403,180.726368159204
1,8e-05,0.9,0.85,249.791044776119,249.497512437811,250.07960199005
1,8e-05,0.95,0.9,336.44776119403,336.124378109453,336.741293532338
1,8e-05,1,0.95,625,625,625
1,9e-05,0.05,0,554.63184079602,554.358208955224,554.92039800995
1,9e-05,0.1,0.05,314.686567164179,314.412935323383,314.960199004975
1,9e-05,0.15,0.1,184.248756218905,183.89552238806,184.597014925373
1,9e-05,0.2,0.15,148.462686567164,148.293532338308,148.626865671642
1,9e-05,0.25,0.2,127.965174129353,127.63184079602,128.278606965174
1,9e-05,0.3,0.25,120.880597014925,120.71144278607,121.044776119403
1,9e-05,0.35,0.3,170.47263681592,170.144278606965,170.781094527363
1,9e-05,0.4,0.35,121.412935323383,121.154228855721,121.676616915423
1,9e-05,0.45,0.4,117.661691542289,117.363184079602,117.960199004975
1,9e-05,0.5,0.45,64.955223880597,64.6915422885572,65.2338308457711
1,9e-05,0.55,0.5,93.3084577114428,93.0497512437811,93.5721393034826
1,9e-05,0.6,0.55,92.0597014925373,91.8258706467662,92.2935323383085
1,9e-05,0.65,0.6,115.930348258706,115.547263681592,116.28855721393
1,9e-05,0.7,0.65,82.8258706467662,82.6666666666667,82.9751243781095
1,9e-05,0.75,0.7,121.606965174129,121.393034825871,121.830845771144
1,9e-05,0.8,0.75,137.746268656716,137.562189054726,137.960199004975
1,9e-05,0.85,0.8,116.676616915423,116.47263681592,116.885572139303
1,9e-05,0.9,0.85,148.646766169154,148.427860696517,148.850746268657
1,9e-05,0.95,0.9,338.721393034826,338.462686567164,339.014925373134
1,9e-05,1,0.95,556,556,556
1,0.0001,0.05,0,497.233830845771,496.850746268657,497.616915422886
1,0.0001,0.1,0.05,183.019900497512,182.781094527363,183.258706467662
1,0.0001,0.15,0.1,180.194029850746,179.820895522388,180.547263681592
1,0.0001,0.2,0.15,130.328358208955,130.109452736318,130.55223880597
1,0.0001,0.25,0.2,155.63184079602,155.353233830846,155.905472636816
1,0.0001,0.3,0.25,84.6517412935323,84.407960199005,84.8955223880597
1,0.0001,0.35,0.3,134.55223880597,134.26368159204,134.8407960199
1,0.0001,0.4,0.35,112.756218905473,112.373134328358,113.134328358209
1,0.0001,0.45,0.4,79.1393034825871,78.9004975124378,79.3532338308458
1,0.0001,0.5,0.45,64.2786069651741,64.0199004975124,64.5273631840796
1,0.0001,0.55,0.5,60.4278606965174,60.0995024875622,60.7462686567164
1,0.0001,0.6,0.55,74.9502487562189,74.6965174129353,75.1890547263682
1,0.0001,0.65,0.6,122.507462686567,122.26368159204,122.781094527363
1,0.0001,0.7,0.65,89.8407960199005,89.5721393034826,90.1144278606965
1,0.0001,0.75,0.7,120.07960199005,119.746268656716,120.422885572139
1,0.0001,0.8,0.75,124.064676616915,123.870646766169,124.238805970149
1,0.0001,0.85,0.8,154.716417910448,154.507462686567,154.935323383085
1,0.0001,0.9,0.85,206.009950248756,205.81592039801,206.223880597015
1,0.0001,0.95,0.9,259.970149253731,259.800995024876,260.139303482587
1,0.0001,1,0.95,500,500,500
3,1e-05,0.05,0,4999.66666666667,4998.12935323383,5001.05472636816
3,1e-05,0.1,0.05,4301.11940298507,4299.82089552239,4302.33333333333
3,1e-05,0.15,0.1,3350.33333333333,3349.33333333333,3351.29353233831
3,1e-05,0.2,0.15,3198.29850746269,3197.28855721393,3199.39303482587
3,1e-05,0.25,0.2,3043.98507462687,3042.81592039801,3045.04975124378
3,1e-05,0.3,0.25,2699.33830845771,2698.03980099502,2700.61194029851
3,1e-05,0.35,0.3,2204.03980099502,2202.49253731343,2205.59701492537
3,1e-05,0.4,0.35,2497.32338308458,2496,2498.55721393035
3,1e-05,0.45,0.4,2153.46766169154,2151.92537313433,2155.00995024876
3,1e-05,0.5,0.45,2209.91044776119,2208.56218905473,2211.28358208955
3,1e-05,0.55,0.5,2051.48258706468,2050.08955223881,2052.8855721393
3,1e-05,0.6,0.55,2444.66666666667,2442.81094527363,2446.63184079602
3,1e-05,0.65,0.6,2493.29353233831,2491.6815920398,2495.09452736318
3,1e-05,0.7,0.65,2353.09452736318,2351.66666666667,2354.48756218905
3,1e-05,0.75,0.7,2903.11940298507,2901.47263681592,2904.75621890547
3,1e-05,0.8,0.75,2789.93532338308,2788.74129353234,2791.08955223881
3,1e-05,0.85,0.8,3503.05472636816,3501.91542288557,3504.09452736318
3,1e-05,0.9,0.85,3398.97512437811,3398.00995024876,3400.08457711443
3,1e-05,0.95,0.9,4650.21890547264,4649.45273631841,4651.00497512438
3,1e-05,1,0.95,4999.65174129353,4999.54228855721,4999.76616915423
3,2e-05,0.05,0,2497.83582089552,2497.19900497512,2498.45771144279
3,2e-05,0.1,0.05,2373.49751243781,2372.44776119403,2374.53233830846
3,2e-05,0.15,0.1,1922.17412935323,1921.55721393035,1922.80099502488
3,2e-05,0.2,0.15,1545.07960199005,1544.41791044776,1545.75124378109
3,2e-05,0.25,0.2,1571.72139303483,1570.78606965174,1572.65174129353
3,2e-05,0.3,0.25,1299.22885572139,1298.17910447761,1300.34825870647
3,2e-05,0.35,0.3,949.781094527363,949.129353233831,950.427860696517
3,2e-05,0.4,0.35,1052.96517412935,1052.1144278607,1053.77114427861
3,2e-05,0.45,0.4,1023.28358208955,1022.592039801,1023.9552238806
3,2e-05,0.5,0.45,1197.73134328358,1196.96019900498,1198.50746268657
3,2e-05,0.55,0.5,1344.2039800995,1343.10945273632,1345.31343283582
3,2e-05,0.6,0.55,1002.00995024876,1000.90547263682,1003.1144278607
3,2e-05,0.65,0.6,1142.64676616915,1141.49253731343,1143.75124378109
3,2e-05,0.7,0.65,1295.64676616915,1294.51741293532,1296.79104477612
3,2e-05,0.75,0.7,1399.3184079602,1398.42786069652,1400.20895522388
3,2e-05,0.8,0.75,1348.55721393035,1347.92537313433,1349.14925373134
3,2e-05,0.85,0.8,1771.10945273632,1770.13432835821,1772.12935323383
3,2e-05,0.9,0.85,1924.12935323383,1923.50248756219,1924.82587064677
3,2e-05,0.95,0.9,2123.99502487562,2123.21393034826,2124.76119402985
3,2e-05,1,0.95,2499.96019900498,2499.93034825871,2499.98507462687
3,3e-05,0.05,0,1666.00995024876,1665.62189054726,1666.45273631841
3,3e-05,0.1,0.05,1464.65671641791,1464.12437810945,1465.18905472637
3,3e-05,0.15,0.1,1147.21890547264,1146.4776119403,1147.93532338308
3,3e-05,0.2,0.15,1066.05472636816,1065.09950248756,1066.93034825871
3,3e-05,0.25,0.2,966.835820895522,966.069651741294,967.597014925373
3,3e-05,0.3,0.25,865.492537313433,864.71144278607,866.303482587065
3,3e-05,0.35,0.3,864.07960199005,863.124378109453,864.995024875622
3,3e-05,0.4,0.35,928.855721393035,928.034825870647,929.686567164179
3,3e-05,0.45,0.4,747.686567164179,746.900497512438,748.512437810945
3,3e-05,0.5,0.45,812.452736318408,811.512437810945,813.343283582089
3,3e-05,0.55,0.5,777.328358208955,776.865671641791,777.8407960199
3,3e-05,0.6,0.55,696.213930348259,695.626865671642,696.786069651741
3,3e-05,0.65,0.6,882.542288557214,881.741293532338,883.258706467662
3,3e-05,0.7,0.65,684.55223880597,684.114427860697,684.985074626866
3,3e-05,0.75,0.7,880.850746268657,879.975124378109,881.71144278607
3,3e-05,0.8,0.75,898.487562189055,897.800995024876,899.124378109453
3,3e-05,0.85,0.8,1013.41293532338,1012.69154228856,1014.14427860697
3,3e-05,0.9,0.85,1278.51243781095,1277.87064676617,1279.16915422886
3,3e-05,0.95,0.9,1416.62686567164,1416.05970149254,1417.21393034826
3,3e-05,1,0.95,1666.96019900498,1666.93532338308,1666.98507462687
3,4e-05,0.05,0,1251.22885572139,1250.84577114428,1251.57711442786
3,4e-05,0.1,0.05,1172.48258706468,1171.88059701493,1173.13930348259
3,4e-05,0.15,0.1,894.611940298507,894.179104477612,894.995024875622
3,4e-05,0.2,0.15,786.706467661692,786.169154228856,787.248756218905
3,4e-05,0.25,0.2,771.507462686567,770.73631840796,772.28855721393
3,4e-05,0.3,0.25,548.910447761194,547.980099502488,549.900497512438
3,4e-05,0.35,0.3,596.89552238806,596.303482587065,597.487562189055
3,4e-05,0.4,0.35,611.328358208955,610.726368159204,611.860696517413
3,4e-05,0.45,0.4,550.044776119403,549.373134328358,550.656716417911
3,4e-05,0.5,0.45,584.616915422886,584.019900497512,585.223880597015
3,4e-05,0.55,0.5,548.338308457711,547.696517412935,549.024875621891
3,4e-05,0.6,0.55,498.915422885572,498.407960199005,499.417910447761
3,4e-05,0.65,0.6,607.293532338308,606.721393034826,607.855721393035
3,4e-05,0.7,0.65,671.26368159204,670.522388059701,672.074626865672
3,4e-05,0.75,0.7,611.283582089552,610.462686567164,612.129353233831
3,4e-05,0.8,0.75,660.238805970149,659.796019900498,660.671641791045
3,4e-05,0.85,0.8,845.119402985075,844.71144278607,845.55223880597
3,4e-05,0.9,0.85,1009.67661691542,1009.1144278607,1010.21890547264
3,4e-05,0.95,0.9,1084.43781094527,1083.96019900498,1084.93532338308
3,4e-05,1,0.95,1250,1250,1250
3,5e-05,0.05,0,998.995024875622,998.651741293532,999.333333333333
3,5e-05,0.1,0.05,927.636815920398,927.019900497512,928.268656716418
3,5e-05,0.15,0.1,736.940298507463,736.492537313433,737.378109452736
3,5e-05,0.2,0.15,653.960199004975,653.452736318408,654.507462686567
3,5e-05,0.25,0.2,467.268656716418,466.756218905473,467.781094527363
3,5e-05,0.3,0.25,567.139303482587,566.636815920398,567.63184079602
3,5e-05,0.35,0.3,516.616915422886,515.955223880597,517.243781094527
3,5e-05,0.4,0.35,376.059701492537,375.462686567164,376.651741293532
3,5e-05,0.45,0.4,507.432835820896,506.820895522388,507.980099502488
3,5e-05,0.5,0.45,429.492537313433,429.009950248756,429.995024875622
3,5e-05,0.55,0.5,468.407960199005,467.970149253731,468.850746268657
3,5e-05,0.6,0.55,486.81592039801,486.228855721393,487.422885572139
3,5e-05,0.65,0.6,465.323383084577,464.870646766169,465.796019900498
3,5e-05,0.7,0.65,494.36815920398,493.805970149254,494.905472636816
3,5e-05,0.75,0.7,496.273631840796,495.587064676617,496.915422885572
3,5e-05,0.8,0.75,558.18407960199,557.661691542289,558.761194029851
3,5e-05,0.85,0.8,602.313432835821,601.820895522388,602.796019900498
3,5e-05,0.9,0.85,657.835820895522,657.378109452736,658.283582089552
3,5e-05,0.95,0.9,889.601990049751,889.029850746269,890.099502487562
3,5e-05,1,0.95,1000,1000,1000
3,6e-05,0.05,0,833.393034825871,833.069651741294,833.731343283582
3,6e-05,0.1,0.05,745.189054726368,744.641791044776,745.781094527363
3,6e-05,0.15,0.1,656.039800995025,655.641791044776,656.437810945274
3,6e-05,0.2,0.15,508.860696517413,508.47263681592,509.258706467662
3,6e-05,0.25,0.2,489.616915422886,489.114427860697,490.10447761194
3,6e-05,0.3,0.25,439.965174129353,439.457711442786,440.44776119403
3,6e-05,0.35,0.3,322.26368159204,321.796019900498,322.781094527363
3,6e-05,0.4,0.35,463.611940298507,463.024875621891,464.189054726368
3,6e-05,0.45,0.4,281.199004975124,280.606965174129,281.756218905473
3,6e-05,0.5,0.45,337.228855721393,336.71144278607,337.701492537313
3,6e-05,0.55,0.5,414.985074626866,414.482587064677,415.562189054726
3,6e-05,0.6,0.55,385.567164179104,385.049751243781,386.024875621891
3,6e-05,0.65,0.6,382.074626865672,381.641791044776,382.517412935323
3,6e-05,0.7,0.65,399.36815920398,399.014925373134,399.761194029851
3,6e-05,0.75,0.7,464.641791044776,464.014925373134,465.199004975124
3,6e-05,0.8,0.75,530.119402985075,529.52736318408,530.651741293532
3,6e-05,0.85,0.8,506.044776119403,505.457711442786,506.65671641791
3,6e-05,0.9,0.85,658.089552238806,657.587064676617,658.572139303483
3,6e-05,0.95,0.9,748.532338308458,748.208955223881,748.850746268657
3,6e-05,1,0.95,834,834,834
3,7e-05,0.05,0,713.238805970149,712.915422885572,713.567164179104
3,7e-05,0.1,0.05,619.910447761194,619.542288557214,620.273631840796
3,7e-05,0.15,0.1,525.199004975124,524.870646766169,525.537313432836
3,7e-05,0.2,0.15,467.47263681592,467.034825870647,467.930348258706
3,7e-05,0.25,0.2,444.71144278607,444.333333333333,445.069651741294
3,7e-05,0.3,0.25,363.945273631841,363.462686567164,364.407960199005
3,7e-05,0.35,0.3,355.955223880597,355.402985074627,356.52736318408
3,7e-05,0.4,0.35,342.024875621891,341.562189054726,342.47263681592
3,7e-05,0.45,0.4,316.223880597015,315.8407960199,316.641791044776
3,7e-05,0.5,0.45,316.791044776119,316.203980099502,317.353233830846
3,7e-05,0.55,0.5,376.8407960199,376.179104477612,377.562189054726
3,7e-05,0.6,0.55,289.800995024876,289.283582089552,290.36815920398
3,7e-05,0.65,0.6,275.577114427861,275.1592039801,276
3,7e-05,0.7,0.65,333.960199004975,333.542288557214,334.36815920398
3,7e-05,0.75,0.7,334.950248756219,334.28855721393,335.601990049751
3,7e-05,0.8,0.75,382.258706467662,381.835820895522,382.686567164179
3,7e-05,0.85,0.8,455.845771144279,455.417910447761,456.28855721393
3,7e-05,0.9,0.85,533.44776119403,533.094527363184,533.810945273632
3,7e-05,0.95,0.9,685.432835820896,685.074626865672,685.786069651741
3,7e-05,1,0.95,715,715,715
3,8e-05,0.05,0,623.696517412935,623.378109452736,624.004975124378
3,8e-05,0.1,0.05,554.054726368159,553.766169154229,554.363184079602
3,8e-05,0.15,0.1,499.388059701493,499.029850746269,499.791044776119
3,8e-05,0.2,0.15,452.373134328358,452.004975124378,452.781094527363
3,8e-05,0.25,0.2,414.855721393035,414.422885572139,415.283582089552
3,8e-05,0.3,0.25,327.004975124378,326.502487562189,327.517412935323
3,8e-05,0.35,0.3,310.55223880597,310.119402985075,310.955223880597
3,8e-05,0.4,0.35,230.741293532338,230.179104477612,231.34328358209
3,8e-05,0.45,0.4,236.094527363184,235.517412935323,236.661691542289
3,8e-05,0.5,0.45,241.36815920398,240.960199004975,241.810945273632
3,8e-05,0.55,0.5,277.52736318408,276.830845771144,278.233830845771
3,8e-05,0.6,0.55,228.796019900498,228.417910447761,229.169154228856
3,8e-05,0.65,0.6,250.109452736318,249.716417910448,250.507462686567
3,8e-05,0.7,0.65,323.059701492537,322.636815920398,323.492537313433
3,8e-05,0.75,0.7,326.1592039801,325.835820895522,326.477611940299
3,8e-05,0.8,0.75,374.004975124378,373.512437810945,374.497512437811
3,8e-05,0.85,0.8,423.467661691542,423.07960199005,423.860696517413
3,8e-05,0.9,0.85,479.666666666667,479.238805970149,480.064676616915
3,8e-05,0.95,0.9,555.457711442786,555.10447761194,555.810945273632
3,8e-05,1,0.95,625,625,625
3,9e-05,0.05,0,553.049751243781,552.751243781095,553.343283582089
3,9e-05,0.1,0.05,520.71144278607,520.353233830846,521.039800995025
3,9e-05,0.15,0.1,426.47263681592,426.119402985075,426.81592039801
3,9e-05,0.2,0.15,352.477611940299,352.039800995025,352.945273631841
3,9e-05,0.25,0.2,347.55223880597,346.880597014925,348.164179104478
3,9e-05,0.3,0.25,270.706467661692,270.402985074627,271
3,9e-05,0.35,0.3,289.258706467662,288.746268656716,289.726368159204
3,9e-05,0.4,0.35,226.203980099502,225.8407960199,226.547263681592
3,9e-05,0.45,0.4,291.10447761194,290.293532338308,291.8407960199
3,9e-05,0.5,0.45,274.676616915423,274.243781094527,275.10447761194
3,9e-05,0.55,0.5,262.014925373134,261.577114427861,262.412935323383
3,9e-05,0.6,0.55,248.333333333333,247.940298507463,248.721393034826
3,9e-05,0.65,0.6,281.432835820896,280.890547263682,281.960199004975
3,9e-05,0.7,0.65,277.935323383085,277.52736318408,278.353233830846
3,9e-05,0.75,0.7,297.383084577114,297.094527363184,297.666666666667
3,9e-05,0.8,0.75,315.497512437811,314.990049751244,315.995024875622
3,9e-05,0.85,0.8,336.855721393035,336.601990049751,337.109452736318
3,9e-05,0.9,0.85,488.900497512438,488.577114427861,489.253731343284
3,9e-05,0.95,0.9,510.676616915423,510.318407960199,511.049751243781
3,9e-05,1,0.95,556,556,556
3,0.0001,0.05,0,500.328358208955,500.084577114428,500.601990049751
